section_number,meeting_number,total_frames,empty,lecture,round,groups,day_of_week
10205,1,60,10,3,44,3,T
10205,2,60,20,3,2,35,Th
10205,3,60,21,3,2,34,T
10205,4,60,30,4,6,20,Th
10205,5,60,40,2,10,8,T
10205,6,60,32,3,10,15,Th
10205,7,60,1,3,24,32,T
10205,8,60,2,30,24,4,Th
10205,9,60,44,1,4,11,T
10205,10,60,3,3,4,50,Th
10205,11,60,23,5,11,21,T
10205,12,60,43,2,12,3,Th
10205,13,60,22,3,22,13,T
10205,14,60,14,5,20,21,Th
10205,15,60,23,7,10,20,T
10205,16,60,32,7,7,14,Th
10205,17,60,5,17,10,28,T
10205,18,60,2,23,12,23,Th
10205,19,60,5,22,13,20,T
10205,20,60,3,13,14,30,Th
10791,1,60,20,2,15,23,M
10791,2,60,19,23,10,8,W
10791,3,60,18,24,10,8,F
10791,4,60,17,10,9,24,M
10791,5,60,16,12,8,24,W
10791,6,60,15,13,7,25,F
10791,7,60,14,14,6,26,M
